order_id,order_date,customer_id,product,quantity,price,order_value,order_month
1001,2024-02-01,301,Mouse,4,545,2180,2
1002,2024-03-06,348,Laptop,2,115,230,3
1003,2024-02-10,278,Keyboard,5,143,715,2
1004,2024-03-11,247,Monitor,3,387,1161,3
1005,2024-01-30,216,Headphones,3,903,2709,1
1006,2024-03-21,309,Keyboard,2,624,1248,3
1007,2024-03-31,210,Laptop,1,150,150,3
1008,2024-02-28,226,Mouse,4,930,3720,2
1009,2024-03-31,248,Monitor,1,740,740,3
1010,2024-02-05,322,Headphones,3,567,1701,2
1011,2024-02-11,350,Mouse,2,358,716,2
1012,2024-02-09,328,Keyboard,1,663,663,2
1013,2024-03-18,232,Monitor,5,942,4710,3
1014,2024-03-04,206,Mouse,3,718,2154,3
1015,2024-01-09,342,Laptop,5,143,715,1
1016,2024-03-14,217,Monitor,4,303,1212,3
1017,2024-03-05,207,Laptop,2,538,1076,3
1018,2024-03-16,306,Keyboard,1,627,627,3
1019,2024-03-06,210,Keyboard,5,773,3865,3
1020,2024-03-13,205,Laptop,4,718,2872,3
1021,2024-02-12,235,Monitor,4,152,608,2
1022,2024-03-23,293,Mouse,3,481,1443,3
1023,2024-02-21,291,Headphones,2,123,246,2
1024,2024-01-19,282,Mouse,5,598,2990,1
1025,2024-02-22,222,Laptop,4,839,3356,2
1026,2024-03-28,299,Monitor,5,900,4500,3
1027,2024-01-22,321,Headphones,2,767,1534,1
1028,2024-02-09,330,Mouse,5,205,1025,2
1029,2024-03-02,268,Monitor,3,672,2016,3
1030,2024-03-14,346,Keyboard,5,53,265,3
1031,2024-01-29,301,Headphones,1,836,836,1
1032,2024-01-18,202,Monitor,3,904,2712,1
1033,2024-03-10,305,Keyboard,4,146,584,3
1034,2024-02-16,339,Headphones,5,763,3815,2
1035,2024-01-10,269,Mouse,1,44,44,1
1036,2024-01-23,325,Keyboard,2,388,776,1
1037,2024-02-20,243,Mouse,4,901,3604,2
1038,2024-02-21,236,Keyboard,3,355,1065,2
